HMW,1,Asajj Ventress No hay tiempo para lamentarse,Rare,Leader,Vigilance Aggression,1
HMW,2,Maz Kanata Reina pirata eclectica,Rare,Leader,Command Cunning,1
HMW,3,Doctor Hemlock La emocion no tiene cabida aqui,Common,Leader,Vigilance Villainy,1
HMW,4,Gran Moff Tarkin Tirano del Borde Exterior,Special,Leader,Vigilance Villainy,1
HMW,5,Jar Jar Binks Bombad General,Common,Leader,Vigilance Heroism,1
HMW,6,Omega Cierra los ojos y concentrate,Rare,Leader,Vigilance Heroism,1
HMW,7,Darth Vader El poder del Imperio,Rare,Leader,Command Villainy,1
HMW,8,General Grievous Caudillo separatista,Common,Leader,Command Villainy,1
HMW,9,Chewbacca Rebelde imparable,Special,Leader,Command Heroism,1
HMW,10,Tarfful Lucha desde las Tierras Sombrias,Common,Leader,Command Heroism,1
HMW,11,Darth Sidious No hay compasion,Rare,Leader,Aggression Villainy,1
HMW,12,Poggle el Menor Que empiecen las ejecuciones,Common,Leader,Aggression Villainy,1
HMW,13,Cham Syndulla El Martillo de Ryloth,Rare,Leader,Aggression Heroism,1
HMW,14,Wicket Hay pocas batallas tan importantes,Common,Leader,Aggression Heroism,1
HMW,15,Bossk Cazador cruel,Common,Leader,Cunning Villainy,1
HMW,16,Maul Viejo maestro,Rare,Leader,Cunning Villainy,1
HMW,17,Osha Atormentada por su pasado,Rare,Leader,Cunning Heroism,1
HMW,18,La guerrera Habil duelista,Common,Leader,Cunning Heroism,1
HMW,19,Mar de las Dunas,Common,Base,Vigilance,1
HMW,20,Grandes Llanuras,Common,Base,Vigilance,1
HMW,21,Kachirho,Common,Base,Vigilance,1
HMW,22,Complejo del generador de escudo,Common,Base,Vigilance,1
HMW,23,Aldea del Arbol Brillante,Common,Base,Command,1
HMW,24,Arbol del Origen,Common,Base,Command,1
HMW,25,Palacio de Theed,Common,Base,Command,1
HMW,26,Campamento tusken,Common,Base,Command,1
HMW,27,Laboratorio de armas biologicas,Common,Base,Aggression,1
HMW,28,Desierto de Jundland,Common,Base,Aggression,1
HMW,29,Bosque de dendroidas,Common,Base,Aggression,1
HMW,30,Tierras Sombrias,Common,Base,Aggression,1
HMW,31,Pantano de Kyyyalstaad,Common,Base,Cunning,1
HMW,32,Mos Eisley,Common,Base,Cunning,1
HMW,33,Otoh Gunga,Common,Base,Cunning,1
HMW,34,Estacion de investigacion 9,Common,Base,Cunning,1
HMW,35,Hunter Todo el mundo a cubierto!,Legendary,Unit,Multicolor,3
HMW,36,Kelnacca Maestro solitario,Rare,Unit,Multicolor,3
HMW,37,Tanque de bacta,Rare,Upgrade,Multicolor,3
HMW,38,Vinculo con bestia,Uncommon,Upgrade,Multicolor,3
HMW,39,Madre Talzin Comprometida con sus hermanas,Rare,Unit,Multicolor,3
HMW,40,Lanzadera de Talzin Llegada misteriosa,Uncommon,Unit,Multicolor,3
HMW,41,Guardian de Skara Nal Ha despertado,Rare,Unit,Multicolor,3
HMW,42,Dooku La corrupcion debe erradicarse,Legendary,Unit,Multicolor,3
HMW,43,Darth Vader Utiliza los metodos que cree convenientes,Legendary,Unit,Multicolor,3
HMW,44,Ima-Gun Di Esperando suministros,Legendary,Unit,Multicolor,3
HMW,45,Logray Chaman del Arbol Brillante,Uncommon,Unit,Multicolor,3
HMW,46,Krrsantan Santo,Rare,Unit,Multicolor,3
HMW,47,Eravana Transporta rathtars,Uncommon,Unit,Multicolor,3
HMW,48,Vernestra Rwoh Nos encargaremos nosotros,Legendary,Unit,Multicolor,3
HMW,49,Gran sarlacc,Rare,Unit,Multicolor,3
HMW,50,Combate a baja altitud,Rare,Event,Multicolor,3
HMW,51,La Tercera Hermana Ciclo de venganza,Legendary,Unit,Multicolor,3
HMW,52,A'Koba Incursor impaciente,Uncommon,Unit,Multicolor,3
HMW,53,Firespray de Fett Ajustando cuentas,Rare,Unit,Multicolor,3
HMW,54,Detonacion sismica,Rare,Event,Multicolor,3
HMW,55,Mae Puede destruir el sueno,Legendary,Unit,Multicolor,3
HMW,56,Yoda Enganoso en su exilio,Legendary,Unit,Multicolor,3
HMW,57,Jefe Lyonie Hipnotizado,Uncommon,Unit,Multicolor,3
HMW,58,Desaparicion misteriosa,Rare,Event,Multicolor,3
HMW,59,Asesino clon X,Common,Unit,Vigilance Villainy,3
HMW,60,Vicealmirante Rampart Una nueva era de seguridad,Special,Unit,Vigilance Villainy,3
HMW,61,Director Krennic Estamos atascados,Special,Unit,Vigilance Villainy,3
HMW,62,Nuvo Vindi Ha perfeccionado el sombra azul,Rare,Unit,Vigilance Villainy,3
HMW,63,Lanzadera medica clase Rho,Common,Unit,Vigilance Villainy,3
HMW,64,Scorch Comando imperial,Uncommon,Unit,Vigilance Villainy,3
HMW,65,Clon de la bestia zillo Experimento del Emperador,Rare,Unit,Vigilance Villainy,3
HMW,66,Punta Carrona Heraldo de la tirania,Rare,Unit,Vigilance Villainy,3
HMW,67,La Gran Progenitora La primera de los drengir,Legendary,Unit,Vigilance Villainy,3
HMW,68,Comandos imperiales,Uncommon,Unit,Vigilance Villainy,3
HMW,69,Venador imperial,Common,Unit,Vigilance Villainy,3
HMW,70,Santuario oscuro,Uncommon,Upgrade,Vigilance Villainy,3
HMW,71,Asolar,Uncommon,Event,Vigilance Villainy,3
HMW,72,Soldado marino del Gran Ejercito,Common,Unit,Vigilance Heroism,3
HMW,73,Peppi Bow Pastora de shaaks,Uncommon,Unit,Vigilance Heroism,3
HMW,74,Yord Fandar Disciplinado y devoto,Rare,Unit,Vigilance Heroism,3
